dataset,previous_action,current_action,count
bc_train,attack,attack,143
bc_train,attack,forward,6
bc_train,attack,forward_jump,3
bc_train,attack,noop,1
bc_train,attack,turn_right,2
bc_train,backward,backward,4
bc_train,backward,turn_right,2
bc_train,fine_look_down,attack,2
bc_train,fine_look_down,fine_look_down,9
bc_train,fine_look_down,fine_turn_left,1
bc_train,fine_look_down,forward_attack,1
bc_train,fine_look_down,noop,9
bc_train,fine_look_down,turn_right,1
bc_train,fine_look_up,attack,1
bc_train,fine_look_up,fine_look_down,7
bc_train,fine_look_up,fine_look_up,3
bc_train,fine_look_up,fine_turn_left,2
bc_train,fine_look_up,forward,1
bc_train,fine_look_up,forward_attack,2
bc_train,fine_look_up,noop,1
bc_train,fine_turn_left,attack,2
bc_train,fine_turn_left,fine_look_down,4
bc_train,fine_turn_left,fine_turn_left,68
bc_train,fine_turn_left,fine_turn_right,4
bc_train,fine_turn_left,forward,1
bc_train,fine_turn_left,look_down,1
bc_train,fine_turn_left,look_up,2
bc_train,fine_turn_left,noop,18
bc_train,fine_turn_right,attack,1
bc_train,fine_turn_right,fine_look_down,1
bc_train,fine_turn_right,fine_look_up,2
bc_train,fine_turn_right,fine_turn_left,14
bc_train,fine_turn_right,fine_turn_right,20
bc_train,fine_turn_right,forward,2
bc_train,fine_turn_right,look_up,3
bc_train,fine_turn_right,noop,4
bc_train,fine_turn_right,turn_right,1
bc_train,forward,attack,3
bc_train,forward,backward,2
bc_train,forward,fine_look_up,1
bc_train,forward,fine_turn_left,5
bc_train,forward,fine_turn_right,1
bc_train,forward,forward,285
bc_train,forward,forward_attack,1
bc_train,forward,forward_jump,12
bc_train,forward,noop,2
bc_train,forward,turn_left,21
bc_train,forward,turn_right,20
bc_train,forward_attack,attack,1
bc_train,forward_attack,fine_look_up,2
bc_train,forward_attack,fine_turn_right,1
bc_train,forward_attack,forward_attack,30
bc_train,forward_jump,forward,10
bc_train,forward_jump,forward_jump,41
bc_train,forward_jump,noop,2
bc_train,forward_jump,turn_left,5
bc_train,forward_jump,turn_right,7
bc_train,look_down,fine_look_down,1
bc_train,look_down,fine_turn_right,1
bc_train,look_down,look_down,5
bc_train,look_down,turn_left,1
bc_train,look_down,turn_right,1
bc_train,look_up,fine_look_up,2
bc_train,look_up,fine_turn_right,3
bc_train,look_up,look_up,5
bc_train,noop,fine_look_down,1
bc_train,noop,fine_look_up,7
bc_train,noop,fine_turn_left,5
bc_train,noop,fine_turn_right,16
bc_train,noop,look_down,3
bc_train,noop,noop,602
bc_train,noop,turn_left,1
bc_train,turn_left,fine_turn_left,5
bc_train,turn_left,forward,24
bc_train,turn_left,forward_jump,1
bc_train,turn_left,turn_left,156
bc_train,turn_left,turn_right,1
bc_train,turn_right,attack,2
bc_train,turn_right,fine_turn_right,2
bc_train,turn_right,forward,24
bc_train,turn_right,forward_jump,8
bc_train,turn_right,noop,4
bc_train,turn_right,turn_left,3
bc_train,turn_right,turn_right,131
bc_validation,attack,attack,63
bc_validation,attack,forward,5
bc_validation,attack,noop,1
bc_validation,backward,backward,16
bc_validation,backward,turn_left,2
bc_validation,backward,turn_right,5
bc_validation,fine_look_down,attack,3
bc_validation,fine_look_down,fine_look_down,6
bc_validation,fine_look_down,forward,7
bc_validation,fine_look_down,forward_jump,7
bc_validation,fine_look_up,attack,2
bc_validation,fine_look_up,fine_look_up,2
bc_validation,fine_look_up,forward,23
bc_validation,fine_look_up,forward_attack,2
bc_validation,fine_look_up,forward_jump,2
bc_validation,fine_look_up,noop,1
bc_validation,fine_turn_left,fine_look_down,7
bc_validation,fine_turn_left,fine_look_up,1
bc_validation,fine_turn_left,fine_turn_left,30
bc_validation,fine_turn_left,fine_turn_right,4
bc_validation,fine_turn_left,forward,7
bc_validation,fine_turn_left,look_down,2
bc_validation,fine_turn_left,noop,1
bc_validation,fine_turn_left,turn_left,1
bc_validation,fine_turn_right,fine_look_down,1
bc_validation,fine_turn_right,fine_look_up,3
bc_validation,fine_turn_right,fine_turn_left,5
bc_validation,fine_turn_right,fine_turn_right,8
bc_validation,fine_turn_right,forward,4
bc_validation,fine_turn_right,look_up,4
bc_validation,forward,attack,1
bc_validation,forward,backward,6
bc_validation,forward,fine_look_up,17
bc_validation,forward,fine_turn_left,4
bc_validation,forward,fine_turn_right,3
bc_validation,forward,forward,687
bc_validation,forward,forward_attack,2
bc_validation,forward,forward_jump,25
bc_validation,forward,look_up,1
bc_validation,forward,noop,10
bc_validation,forward,turn_left,15
bc_validation,forward,turn_right,16
bc_validation,forward_attack,fine_look_up,2
bc_validation,forward_attack,forward,4
bc_validation,forward_attack,forward_attack,31
bc_validation,forward_jump,fine_look_down,8
bc_validation,forward_jump,fine_look_up,1
bc_validation,forward_jump,fine_turn_right,2
bc_validation,forward_jump,forward,19
bc_validation,forward_jump,forward_attack,2
bc_validation,forward_jump,forward_jump,96
bc_validation,forward_jump,turn_left,5
bc_validation,forward_jump,turn_right,2
bc_validation,look_down,fine_look_down,1
bc_validation,look_down,fine_turn_right,1
bc_validation,look_down,look_down,3
bc_validation,look_down,turn_right,1
bc_validation,look_up,fine_look_up,2
bc_validation,look_up,fine_turn_right,3
bc_validation,look_up,look_up,4
bc_validation,noop,fine_look_up,4
bc_validation,noop,fine_turn_left,3
bc_validation,noop,forward,3
bc_validation,noop,look_down,1
bc_validation,noop,noop,3
bc_validation,noop,turn_right,1
bc_validation,turn_left,fine_turn_left,11
bc_validation,turn_left,forward,13
bc_validation,turn_left,forward_jump,2
bc_validation,turn_left,noop,1
bc_validation,turn_left,turn_left,74
bc_validation,turn_left,turn_right,1
bc_validation,turn_right,backward,1
bc_validation,turn_right,fine_turn_right,4
bc_validation,turn_right,forward,16
bc_validation,turn_right,forward_jump,4
bc_validation,turn_right,turn_left,5
bc_validation,turn_right,turn_right,184
dagger1,attack,attack,5
dagger1,attack,noop,5
dagger1,fine_turn_left,fine_turn_left,15
dagger1,fine_turn_left,noop,10
dagger1,fine_turn_left,turn_left,7
dagger1,fine_turn_right,attack,5
dagger1,fine_turn_right,forward,5
dagger1,fine_turn_right,noop,10
dagger1,forward,fine_turn_left,6
dagger1,look_down,fine_turn_right,5
dagger1,noop,fine_turn_left,10
dagger1,noop,fine_turn_right,5
dagger1,noop,look_down,5
dagger1,noop,noop,128
dagger1,noop,turn_right,4
dagger1,turn_left,fine_turn_left,1
dagger1,turn_left,turn_left,101
dagger1,turn_left,turn_right,6
dagger1,turn_right,fine_turn_right,10
dagger1,turn_right,forward,1
dagger1,turn_right,turn_right,654
student_dev,attack,attack,499
student_dev,fine_turn_left,fine_turn_left,499
student_dev,turn_right,turn_right,4990
teacher_dev,attack,attack,37
teacher_dev,attack,forward,1
teacher_dev,attack,noop,1
teacher_dev,attack,turn_right,1
teacher_dev,backward,backward,2
teacher_dev,backward,turn_right,1
teacher_dev,fine_look_down,attack,1
teacher_dev,fine_look_down,fine_look_down,1
teacher_dev,fine_look_up,forward,8
teacher_dev,fine_look_up,forward_attack,3
teacher_dev,fine_turn_left,fine_look_down,1
teacher_dev,fine_turn_left,forward_attack,2
teacher_dev,forward,backward,1
teacher_dev,forward,fine_look_up,7
teacher_dev,forward,fine_turn_left,2
teacher_dev,forward,forward,60
teacher_dev,forward,forward_jump,1
teacher_dev,forward,noop,1
teacher_dev,forward,turn_left,4
teacher_dev,forward,turn_right,1
teacher_dev,forward_attack,attack,1
teacher_dev,forward_attack,fine_look_up,4
teacher_dev,forward_attack,forward_attack,8
teacher_dev,forward_jump,forward,1
teacher_dev,forward_jump,forward_jump,10
teacher_dev,forward_jump,noop,1
teacher_dev,forward_jump,turn_left,1
teacher_dev,forward_jump,turn_right,1
teacher_dev,noop,forward,1
teacher_dev,turn_left,fine_turn_left,1
teacher_dev,turn_left,forward,4
teacher_dev,turn_left,turn_left,11
teacher_dev,turn_left,turn_right,1
teacher_dev,turn_right,attack,1
teacher_dev,turn_right,forward,2
teacher_dev,turn_right,forward_jump,3
teacher_dev,turn_right,turn_left,1
teacher_dev,turn_right,turn_right,68
