checkpoint_seed,environment_seed,steps,inventory_success,timeout,meaningful_interaction,approach,contact,valid_attack,block_break,pickup,dominant_action,dominant_fraction,longest_identical_action_streak,action_transitions,executed_action_entropy,mean_policy_entropy,median_top1_probability,median_top1_top2_margin,mean_policy_js_between_steps,mean_cnn_embedding_delta,mean_hidden_delta,teacher_actions_executed,privileged_actor_inputs,trace_path
11,18500,500,False,True,False,True,True,False,False,False,turn_right,1.0,500,0,-0.0,1.1402919855753613,0.6913803517818451,0.5802806615829468,0.00021130495058530786,0.30757851077463916,0.12823486075790708,0,0,artifacts\exp12\runtime_traces\seed11_env18500.npz
11,18501,500,False,True,False,True,True,False,False,False,turn_right,1.0,500,0,-0.0,1.1394103741965096,0.6922199428081512,0.588295578956604,0.0004046671913239862,1.0697043593039732,0.47519928960499164,0,0,artifacts\exp12\runtime_traces\seed11_env18501.npz
11,18502,500,False,True,False,False,False,False,False,False,turn_right,1.0,500,0,-0.0,1.0856017677527465,0.70604008436203,0.5706897079944611,0.0010256922713340962,1.879070136852876,0.6979816208979888,0,0,artifacts\exp12\runtime_traces\seed11_env18502.npz
11,18503,500,False,True,False,True,False,False,False,False,turn_right,1.0,500,0,-0.0,1.081333354928689,0.7169743776321411,0.6039931178092957,0.0005853320237109998,1.4643317979418922,0.574664073023863,0,0,artifacts\exp12\runtime_traces\seed11_env18503.npz
29,18500,500,False,True,False,True,True,False,False,False,fine_turn_left,1.0,500,0,-0.0,1.762127316515128,0.5182402729988098,0.42984209954738617,0.0001725090948809737,0.30102209379534445,0.1640156360122866,0,0,artifacts\exp12\runtime_traces\seed29_env18500.npz
29,18501,500,False,True,False,True,True,False,False,False,turn_right,1.0,500,0,-0.0,1.20951790666352,0.7324714660644531,0.649014949798584,0.0015612185734311052,1.6033056181275056,0.8492233140435151,0,0,artifacts\exp12\runtime_traces\seed29_env18501.npz
29,18502,500,False,True,False,False,False,False,False,False,turn_right,1.0,500,0,-0.0,0.849574663039669,0.8568037152290344,0.8014496266841888,0.0020737190056349993,2.817777537152858,1.1160290698728008,0,0,artifacts\exp12\runtime_traces\seed29_env18502.npz
29,18503,500,False,True,False,True,False,False,False,False,turn_right,1.0,500,0,-0.0,0.8464264418178193,0.7944101393222809,0.7367303967475891,0.0006893036229981533,2.0966888492953086,0.8190379653402226,0,0,artifacts\exp12\runtime_traces\seed29_env18503.npz
47,18500,500,False,True,True,True,True,True,False,False,attack,1.0,500,0,-0.0,1.088343724732687,0.6840053498744965,0.5250944495201111,0.00031496349416114167,0.0011358550946971957,0.021901618638439833,0,0,artifacts\exp12\runtime_traces\seed47_env18500.npz
47,18501,500,False,True,False,True,True,False,False,False,turn_right,1.0,500,0,-0.0,0.9497051579321496,0.769000768661499,0.6856553554534912,0.0003287596816149054,0.7182813497010119,0.34140810692955353,0,0,artifacts\exp12\runtime_traces\seed47_env18501.npz
47,18502,500,False,True,False,False,False,False,False,False,turn_right,1.0,500,0,-0.0,0.9882136727871323,0.7245376110076904,0.5734729468822479,0.0005100632095103568,1.268967845755254,0.5322374539050406,0,0,artifacts\exp12\runtime_traces\seed47_env18502.npz
47,18503,500,False,True,False,True,False,False,False,False,turn_right,1.0,500,0,-0.0,0.9660893588595189,0.7518152892589569,0.6197210550308228,0.0003432752673140844,0.9780516676410644,0.4355081215291797,0,0,artifacts\exp12\runtime_traces\seed47_env18503.npz
