episode,episode_seed,mode,action_accuracy,balanced_accuracy,first_prediction_divergence,steps_from_first_divergence_to_end,steps_from_first_divergence_to_fixed_point,longest_repeated_predicted_action,action_transition_count,argmax_copy_rate
1,18300,teacher_forced,0.782,0.2900013379211652,45,455,450,93,50,0.8997995991983968
1,18300,free_running,0.164,0.09090909090909091,45,455,0,500,0,1.0
1,18300,always_start,0.068,0.1197339246119734,13,487,206,281,17,0.9659318637274549
1,18300,hidden_zero_each_step,0.164,0.09090909090909091,45,455,0,500,0,1.0
2,18301,teacher_forced,0.598,0.30814586962199897,10,490,489,50,53,0.8937875751503006
2,18301,free_running,0.06,0.03978779840848807,10,490,228,262,1,0.9979959919839679
2,18301,always_start,0.082,0.07705570291777188,10,490,406,142,10,0.9799599198396793
2,18301,hidden_zero_each_step,0.116,0.07692307692307693,10,490,0,500,0,1.0
3,18302,teacher_forced,0.6656626506024096,0.30011679295779387,19,313,299,77,37,0.8882175226586103
3,18302,free_running,0.10240963855421686,0.07692307692307693,19,313,0,332,0,1.0
3,18302,always_start,0.1144578313253012,0.09971845148315737,19,313,302,202,17,0.9486404833836858
3,18302,hidden_zero_each_step,0.10240963855421686,0.07692307692307693,19,313,0,332,0,1.0
4,18303,teacher_forced,0.7821782178217822,0.40614478114478114,26,176,160,47,16,0.9203980099502488
4,18303,free_running,0.19801980198019803,0.1111111111111111,26,176,0,202,0,1.0
4,18303,always_start,0.17326732673267325,0.09722222222222222,26,176,168,173,5,0.9751243781094527
4,18303,hidden_zero_each_step,0.19801980198019803,0.1111111111111111,26,176,0,202,0,1.0
