dataset,outcome,label,positive_timesteps,negative_timesteps,positive_episodes,negative_episodes,positive_seeds,negative_seeds,coverage_status
teacher_dev,all,tree_visible,94,164,2,2,2,2,support_gate_passed
teacher_dev,all,contact_range,141,117,2,2,2,2,support_gate_passed
teacher_dev,all,valid_attack_geometry,44,214,2,2,2,2,support_gate_passed
teacher_dev,all,approach_dynamics,71,105,2,2,2,2,coverage_insufficient_for_generalization_claim
bc_train,all,tree_visible,447,1377,8,8,8,8,support_gate_passed
bc_train,all,contact_range,490,1334,8,8,8,8,support_gate_passed
bc_train,all,valid_attack_geometry,243,1581,7,8,7,8,support_gate_passed
bc_train,all,approach_dynamics,865,576,8,8,8,8,coverage_insufficient_for_generalization_claim
bc_train,successful,tree_visible,446,878,7,7,7,7,support_gate_passed
bc_train,successful,contact_range,484,840,7,7,7,7,support_gate_passed
bc_train,successful,valid_attack_geometry,243,1081,7,7,7,7,support_gate_passed
bc_train,successful,approach_dynamics,386,561,7,7,7,7,coverage_insufficient_for_generalization_claim
bc_train,unsuccessful,tree_visible,1,499,1,1,1,1,coverage_insufficient_for_generalization_claim
bc_train,unsuccessful,contact_range,6,494,1,1,1,1,coverage_insufficient_for_generalization_claim
bc_train,unsuccessful,valid_attack_geometry,0,500,0,1,0,1,coverage_insufficient_for_generalization_claim
bc_train,unsuccessful,approach_dynamics,479,15,1,1,1,1,coverage_insufficient_for_generalization_claim
bc_validation,all,tree_visible,433,1101,4,4,4,4,support_gate_passed
bc_validation,all,contact_range,817,717,4,4,4,4,support_gate_passed
bc_validation,all,valid_attack_geometry,101,1433,3,4,3,4,support_gate_passed
bc_validation,all,approach_dynamics,630,608,4,4,4,4,coverage_insufficient_for_generalization_claim
dagger1,all,tree_visible,84,916,1,2,1,2,coverage_insufficient_for_generalization_claim
dagger1,all,contact_range,0,0,0,0,0,0,coverage_insufficient_for_generalization_claim
dagger1,all,valid_attack_geometry,42,958,1,2,1,2,coverage_insufficient_for_generalization_claim
dagger1,all,approach_dynamics,0,0,0,0,0,0,coverage_insufficient_for_generalization_claim
student_dev,all,tree_visible,832,5168,9,12,3,4,support_gate_passed
student_dev,all,contact_range,3876,2124,12,9,4,3,support_gate_passed
student_dev,all,valid_attack_geometry,625,5375,6,12,2,4,support_gate_passed
student_dev,all,approach_dynamics,1112,2460,9,11,3,4,coverage_insufficient_for_generalization_claim
