dataset,audit_stratum,value,timesteps,episodes,seeds,teacher_action_histogram,previous_action_histogram,next_action_histogram
teacher_dev,tree_visible,negative,164,2,2,"{""fine_look_down"": 1, ""fine_look_up"": 5, ""forward"": 41, ""forward_attack"": 13, ""forward_jump"": 14, ""noop"": 2, ""turn_left"": 17, ""turn_right"": 71}","{""attack"": 2, ""fine_look_up"": 3, ""fine_turn_left"": 3, ""forward"": 42, ""forward_attack"": 12, ""forward_jump"": 14, ""noop"": 2, ""turn_left"": 16, ""turn_right"": 70}","{""attack"": 2, ""fine_look_down"": 1, ""fine_look_up"": 4, ""fine_turn_left"": 1, ""forward"": 43, ""forward_attack"": 11, ""forward_jump"": 14, ""noop"": 4, ""turn_left"": 17, ""turn_right"": 67}"
teacher_dev,tree_visible,positive,94,2,2,"{""attack"": 40, ""backward"": 3, ""fine_look_down"": 1, ""fine_look_up"": 6, ""fine_turn_left"": 3, ""forward"": 36, ""noop"": 1, ""turn_right"": 4}","{""attack"": 38, ""backward"": 3, ""fine_look_down"": 2, ""fine_look_up"": 8, ""forward"": 35, ""forward_attack"": 1, ""noop"": 1, ""turn_left"": 1, ""turn_right"": 5}","{""attack"": 38, ""backward"": 3, ""fine_look_down"": 1, ""fine_look_up"": 7, ""fine_turn_left"": 2, ""forward"": 34, ""forward_attack"": 2, ""noop"": 1, ""turn_right"": 6}"
teacher_dev,contact_range,negative,117,2,2,"{""backward"": 3, ""fine_look_up"": 6, ""fine_turn_left"": 2, ""forward"": 55, ""forward_jump"": 3, ""noop"": 3, ""turn_left"": 6, ""turn_right"": 39}","{""attack"": 2, ""backward"": 3, ""fine_look_up"": 8, ""forward"": 54, ""forward_jump"": 3, ""noop"": 3, ""turn_left"": 4, ""turn_right"": 40}","{""backward"": 3, ""fine_look_up"": 7, ""fine_turn_left"": 2, ""forward"": 55, ""forward_attack"": 2, ""forward_jump"": 5, ""noop"": 2, ""turn_left"": 6, ""turn_right"": 35}"
teacher_dev,contact_range,positive,141,2,2,"{""attack"": 40, ""fine_look_down"": 2, ""fine_look_up"": 5, ""fine_turn_left"": 1, ""forward"": 22, ""forward_attack"": 13, ""forward_jump"": 11, ""turn_left"": 11, ""turn_right"": 36}","{""attack"": 38, ""fine_look_down"": 2, ""fine_look_up"": 3, ""fine_turn_left"": 3, ""forward"": 23, ""forward_attack"": 13, ""forward_jump"": 11, ""turn_left"": 13, ""turn_right"": 35}","{""attack"": 40, ""fine_look_down"": 2, ""fine_look_up"": 4, ""fine_turn_left"": 1, ""forward"": 22, ""forward_attack"": 11, ""forward_jump"": 9, ""noop"": 3, ""turn_left"": 11, ""turn_right"": 38}"
teacher_dev,valid_attack_geometry,negative,214,2,2,"{""backward"": 3, ""fine_look_down"": 1, ""fine_look_up"": 11, ""fine_turn_left"": 2, ""forward"": 77, ""forward_attack"": 13, ""forward_jump"": 14, ""noop"": 3, ""turn_left"": 17, ""turn_right"": 73}","{""attack"": 3, ""backward"": 3, ""fine_look_up"": 11, ""fine_turn_left"": 3, ""forward"": 77, ""forward_attack"": 12, ""forward_jump"": 14, ""noop"": 3, ""turn_left"": 16, ""turn_right"": 72}","{""attack"": 2, ""backward"": 3, ""fine_look_down"": 1, ""fine_look_up"": 11, ""fine_turn_left"": 3, ""forward"": 76, ""forward_attack"": 13, ""forward_jump"": 14, ""noop"": 4, ""turn_left"": 17, ""turn_right"": 70}"
teacher_dev,valid_attack_geometry,positive,44,2,2,"{""attack"": 40, ""fine_look_down"": 1, ""fine_turn_left"": 1, ""turn_right"": 2}","{""attack"": 37, ""fine_look_down"": 2, ""forward_attack"": 1, ""turn_left"": 1, ""turn_right"": 3}","{""attack"": 38, ""fine_look_down"": 1, ""forward"": 1, ""noop"": 1, ""turn_right"": 3}"
teacher_dev,approach_dynamics,decreasing,105,2,2,"{""attack"": 6, ""fine_look_up"": 9, ""forward"": 44, ""forward_attack"": 6, ""forward_jump"": 9, ""turn_left"": 5, ""turn_right"": 26}","{""attack"": 4, ""fine_look_down"": 1, ""fine_look_up"": 9, ""fine_turn_left"": 2, ""forward"": 44, ""forward_attack"": 3, ""forward_jump"": 9, ""turn_left"": 7, ""turn_right"": 26}","{""attack"": 7, ""fine_look_up"": 10, ""forward"": 44, ""forward_attack"": 6, ""forward_jump"": 9, ""turn_left"": 3, ""turn_right"": 26}"
teacher_dev,approach_dynamics,stable,71,2,2,"{""attack"": 31, ""backward"": 3, ""fine_look_down"": 1, ""fine_look_up"": 1, ""fine_turn_left"": 1, ""forward"": 14, ""forward_attack"": 3, ""forward_jump"": 4, ""turn_left"": 2, ""turn_right"": 11}","{""attack"": 31, ""backward"": 3, ""fine_turn_left"": 1, ""forward"": 14, ""forward_attack"": 4, ""forward_jump"": 3, ""turn_left"": 4, ""turn_right"": 11}","{""attack"": 29, ""backward"": 3, ""fine_look_down"": 2, ""forward"": 14, ""forward_attack"": 2, ""forward_jump"": 3, ""noop"": 3, ""turn_left"": 4, ""turn_right"": 11}"
teacher_dev,approach_dynamics,increasing,76,2,2,"{""attack"": 3, ""fine_look_down"": 1, ""fine_look_up"": 1, ""fine_turn_left"": 2, ""forward"": 19, ""forward_attack"": 4, ""forward_jump"": 1, ""noop"": 3, ""turn_left"": 10, ""turn_right"": 32}","{""attack"": 5, ""fine_look_down"": 1, ""fine_look_up"": 2, ""forward"": 19, ""forward_attack"": 6, ""forward_jump"": 2, ""noop"": 1, ""turn_left"": 6, ""turn_right"": 34}","{""attack"": 4, ""fine_look_up"": 1, ""fine_turn_left"": 3, ""forward"": 19, ""forward_attack"": 5, ""forward_jump"": 2, ""noop"": 2, ""turn_left"": 10, ""turn_right"": 30}"
bc_train,tree_visible,negative,1377,8,8,"{""fine_look_down"": 14, ""fine_look_up"": 16, ""fine_turn_left"": 81, ""fine_turn_right"": 45, ""forward"": 176, ""forward_attack"": 34, ""forward_jump"": 47, ""look_down"": 9, ""look_up"": 8, ""noop"": 640, ""turn_left"": 159, ""turn_right"": 148}","{""attack"": 10, ""fine_look_down"": 19, ""fine_look_up"": 7, ""fine_turn_left"": 89, ""fine_turn_right"": 35, ""forward"": 178, ""forward_attack"": 33, ""forward_jump"": 43, ""look_down"": 9, ""look_up"": 8, ""noop"": 641, ""turn_left"": 161, ""turn_right"": 144}","{""attack"": 6, ""fine_look_down"": 20, ""fine_look_up"": 15, ""fine_turn_left"": 83, ""fine_turn_right"": 45, ""forward"": 177, ""forward_attack"": 33, ""forward_jump"": 47, ""look_down"": 9, ""look_up"": 9, ""noop"": 638, ""turn_left"": 158, ""turn_right"": 137}"
bc_train,tree_visible,positive,447,8,8,"{""attack"": 155, ""backward"": 6, ""fine_look_down"": 9, ""fine_look_up"": 1, ""fine_turn_left"": 19, ""fine_turn_right"": 3, ""forward"": 177, ""forward_jump"": 18, ""look_up"": 2, ""noop"": 3, ""turn_left"": 28, ""turn_right"": 26}","{""attack"": 145, ""backward"": 6, ""fine_look_down"": 4, ""fine_look_up"": 10, ""fine_turn_left"": 11, ""fine_turn_right"": 13, ""forward"": 175, ""forward_attack"": 1, ""forward_jump"": 22, ""look_up"": 2, ""noop"": 2, ""turn_left"": 26, ""turn_right"": 30}","{""attack"": 149, ""backward"": 6, ""fine_look_down"": 3, ""fine_look_up"": 2, ""fine_turn_left"": 17, ""fine_turn_right"": 3, ""forward"": 176, ""forward_attack"": 1, ""forward_jump"": 18, ""look_up"": 1, ""noop"": 13, ""turn_left"": 29, ""turn_right"": 29}"
bc_train,contact_range,negative,1334,8,8,"{""backward"": 6, ""fine_look_down"": 12, ""fine_look_up"": 16, ""fine_turn_left"": 70, ""fine_turn_right"": 36, ""forward"": 262, ""forward_attack"": 24, ""forward_jump"": 39, ""look_down"": 6, ""look_up"": 5, ""noop"": 626, ""turn_left"": 139, ""turn_right"": 93}","{""attack"": 8, ""backward"": 6, ""fine_look_down"": 17, ""fine_look_up"": 7, ""fine_turn_left"": 69, ""fine_turn_right"": 35, ""forward"": 258, ""forward_attack"": 23, ""forward_jump"": 37, ""look_down"": 6, ""look_up"": 6, ""noop"": 625, ""turn_left"": 139, ""turn_right"": 98}","{""attack"": 8, ""backward"": 6, ""fine_look_down"": 18, ""fine_look_up"": 15, ""fine_turn_left"": 72, ""fine_turn_right"": 38, ""forward"": 262, ""forward_attack"": 24, ""forward_jump"": 36, ""look_down"": 5, ""look_up"": 5, ""noop"": 622, ""turn_left"": 137, ""turn_right"": 86}"
bc_train,contact_range,positive,490,8,8,"{""attack"": 155, ""fine_look_down"": 11, ""fine_look_up"": 1, ""fine_turn_left"": 30, ""fine_turn_right"": 12, ""forward"": 91, ""forward_attack"": 10, ""forward_jump"": 26, ""look_down"": 3, ""look_up"": 5, ""noop"": 17, ""turn_left"": 48, ""turn_right"": 81}","{""attack"": 147, ""fine_look_down"": 6, ""fine_look_up"": 10, ""fine_turn_left"": 31, ""fine_turn_right"": 13, ""forward"": 95, ""forward_attack"": 11, ""forward_jump"": 28, ""look_down"": 3, ""look_up"": 4, ""noop"": 18, ""turn_left"": 48, ""turn_right"": 76}","{""attack"": 147, ""fine_look_down"": 5, ""fine_look_up"": 2, ""fine_turn_left"": 28, ""fine_turn_right"": 10, ""forward"": 91, ""forward_attack"": 10, ""forward_jump"": 29, ""look_down"": 4, ""look_up"": 5, ""noop"": 29, ""turn_left"": 50, ""turn_right"": 80}"
