dataset,transition,status,total_occurrences,distinct_trajectories,distinct_seeds,median_duration,teacher_actions_window_minus10_plus10
teacher_dev,tree_not_visible_to_tree_visible,supported,8,2,2,1.0,"{""attack"": 40, ""fine_look_down"": 4, ""fine_look_up"": 11, ""fine_turn_left"": 7, ""forward"": 31, ""forward_attack"": 24, ""forward_jump"": 9, ""turn_left"": 11, ""turn_right"": 26}"
teacher_dev,tree_visible_to_roughly_centered,unsupported_by_current_audit_data,0,0,0,,{}
teacher_dev,tree_visible_to_approaching,supported,10,2,2,4.0,"{""attack"": 33, ""backward"": 3, ""fine_look_down"": 2, ""fine_look_up"": 11, ""fine_turn_left"": 6, ""forward"": 47, ""forward_attack"": 19, ""forward_jump"": 24, ""noop"": 3, ""turn_left"": 14, ""turn_right"": 39}"
teacher_dev,approaching_to_contact_range,supported,12,2,2,0.0,"{""attack"": 22, ""backward"": 3, ""fine_look_down"": 1, ""fine_look_up"": 14, ""fine_turn_left"": 6, ""forward"": 79, ""forward_attack"": 24, ""forward_jump"": 21, ""noop"": 4, ""turn_left"": 16, ""turn_right"": 43}"
teacher_dev,contact_range_to_valid_attack_geometry,supported,5,2,2,0.0,"{""attack"": 39, ""fine_look_down"": 4, ""fine_look_up"": 1, ""fine_turn_left"": 3, ""forward"": 10, ""forward_attack"": 7, ""forward_jump"": 9, ""turn_left"": 11, ""turn_right"": 16}"
teacher_dev,valid_attack_geometry_to_block_break,unsupported_by_current_audit_data,0,0,0,,{}
teacher_dev,block_break_to_pickup,unsupported_by_current_audit_data,0,0,0,,{}
bc_train,tree_not_visible_to_tree_visible,supported,64,7,7,1.0,"{""attack"": 131, ""fine_look_down"": 36, ""fine_look_up"": 30, ""fine_turn_left"": 98, ""fine_turn_right"": 53, ""forward"": 305, ""forward_attack"": 19, ""forward_jump"": 34, ""look_down"": 10, ""look_up"": 9, ""noop"": 276, ""turn_left"": 181, ""turn_right"": 138}"
bc_train,tree_visible_to_roughly_centered,unsupported_by_current_audit_data,0,0,0,,{}
bc_train,tree_visible_to_approaching,supported,120,8,8,4.0,"{""attack"": 166, ""backward"": 11, ""fine_look_down"": 58, ""fine_look_up"": 50, ""fine_turn_left"": 251, ""fine_turn_right"": 116, ""forward"": 598, ""forward_attack"": 42, ""forward_jump"": 94, ""look_down"": 18, ""look_up"": 31, ""noop"": 340, ""turn_left"": 483, ""turn_right"": 218}"
bc_train,approaching_to_contact_range,supported,46,8,8,0.0,"{""attack"": 126, ""backward"": 3, ""fine_look_down"": 38, ""fine_look_up"": 30, ""fine_turn_left"": 70, ""fine_turn_right"": 30, ""forward"": 213, ""forward_attack"": 16, ""forward_jump"": 33, ""look_down"": 16, ""look_up"": 14, ""noop"": 144, ""turn_left"": 136, ""turn_right"": 83}"
bc_train,contact_range_to_valid_attack_geometry,supported,34,7,7,0.0,"{""attack"": 143, ""fine_look_down"": 36, ""fine_look_up"": 30, ""fine_turn_left"": 33, ""fine_turn_right"": 11, ""forward"": 150, ""forward_attack"": 19, ""forward_jump"": 28, ""look_down"": 10, ""look_up"": 9, ""noop"": 140, ""turn_left"": 29, ""turn_right"": 57}"
bc_train,valid_attack_geometry_to_block_break,unsupported_by_current_audit_data,0,0,0,,{}
bc_train,block_break_to_pickup,unsupported_by_current_audit_data,0,0,0,,{}
